follower	followee
27115	0
19	1
136	1
164	1
1071	1
1192	1
1269	1
1536	1
1559	1
1568	1
1735	1
2297	1
2421	1
2550	1
2628	1
2751	1
2811	1
2814	1
2833	1
2919	1
2974	1
3000	1
3007	1
3134	1
3164	1
3543	1
3553	1
3563	1
3603	1
3642	1
3653	1
3962	1
4006	1
4086	1
4123	1
4280	1
4318	1
4326	1
4916	1
5510	1
5618	1
5814	1
6068	1
6168	1
6797	1
6969	1
6985	1
7058	1
8662	1
8722	1
8782	1
9005	1
9027	1
9064	1
9069	1
9079	1
9116	1
9117	1
9155	1
9186	1
9284	1
9302	1
9324	1
9460	1
9523	1
9607	1
9653	1
9703	1
9877	1
10210	1
10297	1
10413	1
10810	1
11410	1
11543	1
11574	1
11705	1
11734	1
11893	1
12316	1
12372	1
12487	1
13431	1
13730	1
13817	1
14061	1
14123	1
14323	1
14515	1
14695	1
14933	1
14934	1
15256	1
15303	1
15339	1
15361	1
15459	1
15832	1
16230	1
16294	1
16382	1
16409	1
16582	1
17633	1
17673	1
18202	1
18247	1
18741	1
18749	1
18806	1
19405	1
19483	1
20148	1
20823	1
21063	1
22546	1
22688	1
22707	1
23050	1
23681	1
24206	1
24786	1
25021	1
25091	1
25363	1
26866	1
26898	1
27539	1
27623	1
27798	1
27800	1
28037	1
28056	1
28932	1
29454	1
29494	1
29723	1
29951	1
30064	1
30118	1
30226	1
30782	1
31025	1
31988	1
32271	1
32505	1
33002	1
33580	1
33680	1
33920	1
33963	1
33974	1
33999	1
34023	1
34207	1
34358	1
34459	1
34698	1
35448	1
35717	1
36097	1
36130	1
36187	1
36543	1
37032	1
37265	1
37425	1
37488	1
37731	1
37889	1
38324	1
38356	1
38402	1
38946	1
38979	1
39038	1
20710	2
8173	3
12212	3
14267	3
17568	3
23414	3
23982	3
24061	3
32841	3
33026	3
36033	3
38922	3
2837	4
18852	4
26658	4
271	5
11220	5
11251	5
11768	5
19465	5
21256	5
25735	5
11594	6
34212	6
26391	7
197	8
3064	9
14550	9
39133	9
676	10
4203	10
28669	10
32249	10
8393	11
16903	11
18670	11
23322	11
10539	12
19422	12
20466	12
15232	13
16259	13
19447	13
24245	13
25809	13
32805	13
38566	13
39122	13
2223	14
2821	14
4421	14
14685	14
17944	14
26716	14
30768	14
32005	14
32186	14
32718	14
1365	15
3607	15
4098	15
6104	15
8760	15
10451	15
10775	15
13815	15
15257	15
16228	15
19407	15
21677	15
25955	15
26114	15
26584	15
27662	15
27828	15
29846	15
30930	15
32145	15
35964	15
36444	15
36491	15
387	16
1206	16
1533	16
1916	16
2848	16
5747	16
5922	16
6149	16
9666	16
10314	16
10477	16
10605	16
15367	16
17697	16
21350	16
22830	16
23828	16
25925	16
26454	16
26719	16
28139	16
28476	16
30245	16
3845	17
13264	17
1970	18
2344	18
2612	18
2861	18
13031	18
14019	18
21284	18
30452	18
32700	18
33744	18
37846	18
1	19
164	19
1071	19
1136	19
1299	19
1414	19
1568	19
1629	19
2523	19
2550	19
2579	19
2919	19
3134	19
3164	19
3171	19
3458	19
3553	19
3563	19
3642	19
3663	19
3720	19
3906	19
3962	19
4086	19
4280	19
4286	19
4318	19
4375	19
5243	19
5449	19
5524	19
5814	19
5892	19
6105	19
6166	19
6847	19
6985	19
7054	19
7641	19
8169	19
8337	19
8447	19
8562	19
8722	19
8726	19
8995	19
9005	19
9069	19
9246	19
9460	19
9523	19
10198	19
10218	19
10617	19
10810	19
11458	19
11619	19
11626	19
11705	19
11734	19
11893	19
12316	19
12372	19
12453	19
12633	19
12970	19
13730	19
13817	19
14096	19
14146	19
14323	19
14515	19
14695	19
14727	19
15013	19
15303	19
15339	19
15361	19
16230	19
16409	19
17725	19
18247	19
18562	19
18618	19
18741	19
18749	19
19264	19
19547	19
20148	19
20823	19
21063	19
21312	19
23014	19
23055	19
23316	19
23681	19
23927	19
24206	19
24214	19
24557	19
24574	19
24767	19
24791	19
25363	19
26371	19
27539	19
27725	19
27800	19
28037	19
28056	19
28488	19
28506	19
28604	19
29127	19
29277	19
29299	19
29494	19
29719	19
29723	19
30237	19
30754	19
30782	19
31025	19
31089	19
31178	19
31988	19
32881	19
33036	19
33097	19
33680	19
33920	19
34023	19
35448	19
35502	19
35770	19
36097	19
37425	19
37488	19
37731	19
38634	19
38827	19
38893	19
5451	20
5733	20
5840	20
6590	20
8706	20
9621	20
11452	20
25073	20
28252	20
28387	20
33514	20
34373	20
35152	20
37336	20
479	21
2018	21
37032	21
207	22
2610	22
2675	22
2715	22
3159	22
3201	22
3578	22
3692	22
3883	22
5090	22
6172	22
6552	22
6620	22
6661	22
6745	22
7963	22
8614	22
8976	22
9333	22
11264	22
13779	22
16802	22
16835	22
16876	22
17519	22
18240	22
20132	22
21662	22
21783	22
22184	22
22696	22
22999	22
24608	22
25104	22
27392	22
27808	22
28239	22
28388	22
31353	22
32391	22
32958	22
32987	22
33752	22
36532	22
37249	22
38207	22
38208	22
873	23
2143	23
3522	23
6765	23
9339	23
9670	23
11219	23
13066	23
15280	23
15351	23
18217	23
28382	23
29878	23
35125	23
3312	24
3695	24
4073	24
4078	24
4369	24
5453	24
5958	24
11770	24
14756	24
16580	24
16974	24
18785	24
21836	24
36875	24
218	25
1878	25
2153	25
3253	25
3542	25
6951	25
8852	25
9211	25
10489	25
12593	25
13521	25
14377	25
14499	25
15478	25
16260	25
16857	25
16882	25
17824	25
18063	25
18705	25
18942	25
18990	25
22771	25
22849	25
26814	25
29680	25
30609	25
34450	25
10722	26
39102	26
25021	27
409	28
6897	28
29845	28
3132	29
5786	29
7656	29
9127	29
14918	29
24302	29
26507	29
38902	29
1990	30
2087	30
3437	30
6631	30
11261	30
11810	30
15345	30
21039	30
25004	30
33609	30
35302	30
35323	30
36179	30
37861	30
38011	30
38686	30
25896	31
31654	31
2579	32
2727	32
3007	32
3220	32
3397	32
3571	32
3619	32
4752	32
4916	32
5622	32
5988	32
11494	32
11612	32
12381	32
12732	32
13404	32
13581	32
14245	32
14336	32
15102	32
17867	32
19290	32
21750	32
