itemId	latitude	longitude
1	28.42	-81.58
2	-33.52	-70.60
3	-33.52	-70.60
4	39.65	-0.51
6	37.82	-122.35
7	37.79	-122.41
8	39.85	32.83
9	39.85	32.83
10	-23.57	-46.70
11	-23.57	-46.70
12	-23.54	-46.63
14	59.85	30.24
15	19.44	-99.20
16	19.44	-99.20
17	40.82	-85.84
18	40.80	-85.81
19	52.02	4.71
20	51.93	4.47
21	51.81	4.67
22	40.99	29.03
23	41.05	29.05
24	41.04	28.98
26	42.82	-1.64
27	42.82	-1.64
28	20.64	-105.23
29	20.66	-105.24
30	19.43	-99.16
31	19.43	-99.16
33	0.04	-51.06
34	-3.10	-60.02
35	-3.10	-60.02
36	-8.12	-34.91
37	-8.12	-34.90
38	40.96	29.07
39	40.96	29.08
40	-33.38	-70.51
41	-33.38	-70.51
42	-34.56	-58.41
43	-34.61	-58.38
44	19.41	-99.18
45	19.41	-99.17
47	-25.42	-49.27
48	-25.43	-49.27
49	-5.09	-42.80
50	-5.09	-42.79
51	-33.45	-70.66
52	-33.45	-70.68
53	19.42	-99.18
54	19.43	-99.16
55	-30.03	-51.23
56	-30.03	-51.23
57	-33.43	-70.58
58	-33.49	-70.58
59	-33.49	-70.58
60	33.81	-117.88
61	33.81	-117.92
62	33.81	-117.92
63	-23.00	-43.32
64	-22.99	-43.25
66	-30.06	-51.17
68	-33.47	-70.64
69	-34.18	-70.72
71	-3.10	-60.01
73	41.05	29.08
75	-19.93	-43.93
77	-19.89	-43.93
78	37.03	27.43
79	37.03	27.43
80	41.04	28.89
81	41.09	29.06
83	-32.98	-71.28
84	40.96	29.08
86	-3.73	-38.53
89	-25.45	-49.25
90	-7.23	-39.32
91	-7.21	-39.27
92	-7.24	-39.32
94	-33.44	-70.68
95	-33.50	-70.61
96	41.03	28.98
97	41.08	29.05
99	-5.81	-35.21
100	-5.81	-35.21
101	-34.84	-56.02
102	-3.13	-60.02
103	-3.13	-60.02
104	-33.44	-70.64
105	-33.44	-70.64
106	35.55	139.65
107	35.55	139.65
108	-23.55	-46.62
109	-23.55	-46.63
110	-23.44	-70.44
112	-23.50	-46.62
113	-23.51	-46.61
114	19.41	-99.18
115	19.41	-99.17
116	19.39	-99.17
117	19.40	-99.17
118	40.96	28.84
119	40.96	28.82
120	36.00	139.79
121	36.10	139.76
122	36.13	139.76
123	38.46	27.21
125	4.68	-74.04
126	4.67	-74.05
128	0.04	-51.06
129	35.28	139.67
130	35.66	139.76
131	-1.45	-48.49
132	-1.41	-48.44
133	33.94	-118.41
134	36.08	-115.15
135	36.12	-115.17
136	-2.51	-44.29
137	-2.50	-44.29
138	-23.51	-46.59
140	-33.40	-70.51
141	-33.41	-70.58
142	44.08	-123.04
143	44.09	-123.06
144	-35.43	-71.66
145	-35.43	-71.65
146	-3.09	-59.96
147	-3.09	-59.97
148	-30.03	-51.20
149	-30.11	-51.25
150	-30.02	-51.22
151	-29.92	-51.18
152	-29.88	-51.18
153	-1.39	-48.42
154	-0.62	-47.34
155	-5.80	-35.20
156	-5.81	-35.21
157	34.70	135.51
159	34.70	135.51
160	34.70	135.50
161	34.70	135.50
162	39.30	-94.72
163	41.98	-87.90
164	19.36	-99.27
165	19.37	-99.26
166	34.68	135.64
167	34.68	135.51
168	38.99	-77.03
169	38.92	-77.02
170	35.17	138.91
171	35.10	138.86
172	35.10	138.86
173	-34.55	-58.45
175	-12.13	-77.03
176	43.06	-87.95
178	-33.03	-71.59
179	-33.01	-71.55
180	-33.01	-71.55
181	14.58	-60.98
183	-23.64	-70.40
184	-23.69	-70.41
185	38.29	140.36
186	38.36	140.29
187	35.71	139.78
188	35.71	139.78
189	-15.83	-47.96
190	-15.83	-47.96
191	35.73	139.73
192	35.70	139.76
193	9.86	-83.91
194	9.83	-83.86
195	35.63	139.72
196	35.62	139.72
197	-37.81	144.96
198	-37.81	144.96
199	19.36	-99.16
200	19.35	-99.16
201	-33.44	-70.63
202	-33.45	-70.66
203	-33.49	-70.65
204	-33.49	-70.65
205	-25.42	-49.27
