follower	followee
8	0
10	0
18	0
19	0
21	0
24	0
25	0
39	0
60	0
68	0
70	0
75	0
79	0
130	0
203	0
249	0
310	0
315	0
375	0
579	0
682	0
707	0
894	0
945	0
1013	0
1070	0
1296	0
1719	0
2051	0
2112	0
2344	0
2743	0
2773	0
4744	0
4836	0
4992	0
5215	0
5329	0
5492	0
5769	0
7265	0
7955	0
9131	0
9640	0
9841	0
9911	0
10161	0
11178	0
11906	0
11914	0
12870	0
13056	0
13190	0
13249	0
13523	0
14016	0
14344	0
15037	0
15084	0
15823	0
16321	0
16964	0
17797	0
19026	0
19092	0
19688	0
20590	0
20837	0
21012	0
25542	0
26001	0
26408	0
28158	0
28931	0
29668	0
29806	0
30088	0
30241	0
30660	0
30945	0
31978	0
33324	0
33418	0
41	1
60	1
83	1
98	1
1079	1
1416	1
1617	1
1970	1
2198	1
2625	1
3718	1
3775	1
4413	1
6071	1
7583	1
7729	1
8969	1
9841	1
10356	1
10964	1
18723	1
20359	1
20837	1
23937	1
25542	1
26228	1
29621	1
5	2
10	2
34	2
38	2
43	2
52	2
56	2
62	2
111	2
113	2
122	2
203	2
249	2
297	2
345	2
362	2
415	2
416	2
536	2
645	2
694	2
801	2
875	2
904	2
905	2
924	2
967	2
969	2
990	2
1071	2
1122	2
1147	2
1185	2
1880	2
2043	2
2098	2
2213	2
2454	2
2876	2
3024	2
3114	2
3304	2
3382	2
3731	2
3995	2
4319	2
4327	2
4407	2
4718	2
4860	2
6100	2
6276	2
6316	2
8348	2
8412	2
9870	2
10743	2
11072	2
11137	2
11193	2
11359	2
11960	2
12482	2
12762	2
13242	2
13486	2
13528	2
13569	2
14372	2
14546	2
14893	2
14997	2
15008	2
15204	2
15541	2
16713	2
18340	2
18347	2
20900	2
21092	2
26001	2
26419	2
26552	2
27895	2
28030	2
29818	2
30332	2
2372	3
8303	3
13864	3
24462	3
25542	3
30101	3
84	4
114	4
453	4
841	4
1012	4
1154	4
1435	4
1588	4
2361	4
3514	4
3530	4
4827	4
5088	4
5296	4
