itemId	latitude	longitude
0	32.94	-97.13
1	32.94	-97.13
2	32.94	-97.10
3	32.94	-97.13
4	32.94	-97.13
5	39.04	-94.59
6	39.04	-94.59
7	30.27	-97.75
8	30.26	-97.73
9	37.80	-122.39
10	37.80	-122.40
11	38.90	-77.00
12	38.90	-77.01
13	38.89	-77.00
14	38.89	-77.01
15	30.27	-97.74
16	30.26	-97.74
17	30.27	-97.75
18	30.27	-97.74
19	32.94	-97.07
20	32.94	-97.06
21	32.95	-97.06
22	32.96	-97.04
23	32.97	-97.04
24	30.27	-97.74
25	30.27	-97.74
26	30.27	-97.75
27	30.27	-97.74
28	30.27	-97.75
29	37.44	-122.16
30	37.44	-122.16
31	32.85	-96.71
32	32.81	-96.75
33	32.82	-96.79
34	30.28	-97.72
35	30.28	-97.72
36	30.31	-97.74
37	30.27	-97.74
38	30.27	-97.74
39	30.27	-97.74
40	30.27	-97.74
41	30.27	-97.75
42	30.27	-97.75
43	30.26	-97.81
44	30.27	-97.74
45	30.27	-97.74
46	30.27	-97.74
47	30.27	-97.74
48	30.27	-97.74
49	30.26	-97.75
50	30.26	-97.75
51	30.26	-97.74
52	30.27	-97.75
53	31.53	-97.13
54	30.27	-97.74
55	30.27	-97.74
56	30.27	-97.74
57	30.27	-97.74
58	30.26	-97.74
59	30.27	-97.74
60	30.26	-97.74
61	30.26	-97.74
62	30.26	-97.75
63	30.27	-97.75
64	30.26	-97.75
65	30.26	-97.75
66	30.26	-97.74
67	30.27	-97.74
68	30.27	-97.74
69	30.27	-97.74
70	30.27	-97.74
71	37.79	-122.41
72	37.78	-122.41
73	37.42	-122.21
74	30.27	-97.74
75	30.27	-97.75
76	32.80	-96.80
77	32.79	-96.80
78	33.10	-96.82
79	33.09	-96.82
80	32.72	-97.36
81	32.72	-97.36
82	32.72	-97.36
83	32.72	-97.36
84	32.72	-97.36
85	32.72	-97.36
86	32.72	-97.36
87	32.72	-97.36
88	32.72	-97.36
89	30.25	-97.75
90	30.27	-97.75
91	30.30	-97.74
92	34.02	-118.49
93	34.02	-118.49
94	30.20	-97.67
95	30.25	-97.75
96	30.26	-97.73
97	30.27	-97.74
98	30.27	-97.74
99	30.28	-97.77
100	37.32	-122.04
101	32.94	-97.13
102	32.94	-97.13
103	37.72	-122.48
104	37.78	-122.47
105	37.78	-122.46
106	37.41	-121.98
107	37.33	-122.03
108	37.33	-122.03
109	39.04	-94.59
110	39.04	-94.58
111	39.04	-94.59
112	39.05	-94.59
113	47.64	-122.36
114	47.61	-122.34
115	47.63	-122.36
116	38.89	-77.03
117	38.88	-77.04
118	38.89	-77.03
119	38.89	-77.03
120	38.89	-77.04
121	38.89	-77.04
122	38.89	-77.05
123	38.89	-77.05
124	38.89	-77.05
125	38.89	-77.05
126	38.89	-77.04
127	38.88	-77.04
128	38.90	-77.04
129	33.08	-96.82
130	32.77	-96.80
131	35.65	-97.42
132	35.65	-97.42
133	32.79	-96.80
134	32.79	-96.80
135	32.78	-96.81
136	32.78	-96.81
137	32.78	-96.80
138	32.78	-96.80
139	32.78	-96.81
140	32.78	-96.81
141	32.78	-96.81
142	32.78	-96.81
143	32.78	-96.81
144	37.79	-122.43
145	37.74	-122.42
146	37.78	-122.46
147	37.44	-122.16
148	33.05	-96.83
149	32.82	-96.79
150	32.82	-96.79
151	30.18	-97.72
152	37.32	-122.05
153	37.33	-122.03
154	32.82	-96.79
155	39.08	-94.59
156	37.73	-122.43
157	37.73	-122.43
158	47.61	-122.34
159	47.63	-122.36
160	47.60	-122.32
161	40.00	-83.02
162	40.00	-83.02
163	40.00	-83.01
164	39.98	-83.04
165	40.00	-83.01
166	39.99	-83.01
167	32.95	-96.82
168	32.95	-96.82
169	37.76	-122.42
170	37.74	-122.41
171	37.74	-122.41
172	37.79	-122.41
173	37.78	-122.39
174	37.39	-121.98
175	39.05	-94.59
176	39.05	-94.59
177	32.94	-97.13
178	32.94	-97.13
179	32.94	-97.13
180	32.94	-97.13
181	32.71	-117.16
182	32.71	-117.16
183	32.78	-96.81
184	32.78	-96.80
185	32.80	-96.80
186	32.80	-96.80
187	32.80	-96.80
188	32.81	-96.80
189	32.78	-96.80
190	47.65	-122.35
191	47.65	-122.35
192	37.45	-122.17
193	37.45	-122.16
194	32.86	-96.80
195	32.87	-96.77
196	32.82	-96.72
197	37.44	-122.16
198	37.44	-122.16
199	37.45	-122.16
200	37.78	-122.42
201	37.72	-122.46
202	37.75	-122.42
203	37.77	-122.42
204	37.77	-122.40
205	37.78	-122.39
206	37.78	-122.39
207	37.79	-122.39
208	37.76	-122.43
209	37.32	-121.99
210	37.54	-122.36
211	32.52	-94.36
212	37.80	-122.41
213	37.80	-122.41
214	37.80	-122.41
215	37.80	-122.41
216	37.80	-122.41
217	37.80	-122.41
218	37.80	-122.41
219	37.80	-122.41
220	41.88	-87.62
221	32.92	-97.09
222	32.92	-97.09
223	32.92	-97.09
224	32.86	-96.96
225	32.75	-97.08
226	32.75	-97.09
227	32.76	-97.07
228	33.04	-97.28
229	32.88	-97.24
230	32.88	-97.26
231	32.89	-97.26
232	32.94	-97.13
233	32.94	-97.13
234	32.94	-97.13
235	32.94	-97.13
236	32.94	-97.13
237	32.94	-97.13
238	32.94	-97.13
239	32.94	-97.19
240	32.93	-97.24
241	32.94	-97.25
242	32.72	-97.37
243	32.79	-97.35
244	32.79	-97.35
245	32.79	-97.35
246	30.61	-96.34
247	30.61	-96.35
248	30.61	-96.34
249	30.62	-96.35
250	30.62	-96.34
251	31.53	-97.15
252	32.93	-97.23
253	32.68	-97.40
254	32.68	-97.40
255	42.37	-71.12
256	32.75	-97.33
257	32.75	-97.36
258	29.75	-95.36
259	29.76	-95.36
260	29.68	-95.41
261	37.80	-122.41
262	37.80	-122.41
263	37.80	-122.41
264	37.80	-122.40
265	41.88	-87.64
266	41.88	-87.64
267	41.92	-87.64
268	41.87	-87.61
269	41.89	-87.62
270	41.88	-87.67
271	32.79	-96.81
272	32.79	-96.80
273	32.94	-97.13
274	32.94	-97.13
275	35.21	-97.44
276	36.13	-97.07
277	39.04	-94.59
278	32.72	-97.36
279	32.72	-97.36
280	32.72	-97.36
281	32.72	-97.35
282	32.72	-97.36
283	32.72	-97.36
284	32.72	-97.36
285	33.76	-97.13
286	35.19	-97.44
287	35.19	-97.45
288	35.21	-97.44
289	35.21	-97.45
290	35.20	-97.44
291	36.13	-97.07
292	39.20	-96.58
293	38.97	-95.23
294	38.96	-95.25
295	38.96	-95.25
296	39.05	-94.48
297	39.05	-94.48
298	38.93	-92.33
299	32.94	-97.13
300	32.95	-97.13
301	37.79	-122.41
302	37.79	-122.41
303	37.80	-122.41
304	37.78	-122.41
305	37.82	-122.48
306	37.81	-122.47
307	37.81	-122.42
308	37.81	-122.42
309	37.81	-122.42
310	37.81	-122.41
311	37.81	-122.41
312	37.80	-122.40
313	39.04	-94.59
314	39.04	-94.59
315	41.97	-87.84
316	41.84	-87.83
317	36.12	-115.17
318	36.12	-115.17
319	36.13	-115.17
320	32.94	-97.13
321	32.94	-97.13
322	32.94	-97.16
323	32.89	-97.15
324	32.89	-97.15
325	32.89	-97.15
326	33.81	-84.38
327	33.78	-84.37
328	39.04	-94.59
329	32.81	-96.80
330	47.61	-122.35
331	47.62	-122.35
332	29.43	-98.49
333	29.46	-98.47
334	33.15	-96.84
335	32.84	-97.24
336	39.04	-94.59
337	33.78	-84.41
338	33.81	-84.41
339	30.25	-97.76
340	30.25	-97.76
341	30.28	-97.74
342	30.29	-97.74
343	40.74	-74.00
344	40.74	-73.99
345	32.94	-97.13
346	32.95	-97.13
347	32.94	-97.13
348	32.93	-97.23
349	32.93	-97.23
350	32.91	-97.32
351	32.91	-97.31
352	33.77	-84.55
353	33.77	-84.35
